robustness_category,difficulty,object_specie_pair,num_questions,question,average_technical_accuracy,average_comprehensiveness,average_relevance,average_style_and_clarity,average_overall_score
general,general,bottle-broken_large,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.2,1.2,1.8,5.0,1.4
general,general,bottle-broken_large,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.8,2.8,3.6,4.4,3.0
general,general,bottle-broken_large,5,"What is the object in the image, and what is its intended function?",3.2,3.2,4.4,5.0,3.2
general,general,bottle-broken_large,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,3.6,4.0,5.0,3.4
general,general,bottle-broken_small,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.0,1.0,1.2,5.0,1.0
general,general,bottle-broken_small,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.2,2.8,4.2,4.8,3.0
general,general,bottle-broken_small,5,"What is the object in the image, and what is its intended function?",2.4,2.6,3.0,5.0,2.4
general,general,bottle-broken_small,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.4,3.8,4.2,4.8,3.6
general,general,bottle-contamination,5,Explain the intended function or use of the object shown when it is in ideal condition.,1.6,1.4,2.4,5.0,1.6
general,general,bottle-contamination,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,3.8,4.6,4.4,3.8
general,general,bottle-contamination,5,"What is the object in the image, and what is its intended function?",2.8,2.8,3.6,5.0,2.8
general,general,bottle-contamination,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",3.6,3.6,4.4,5.0,3.6
general,general,bottle-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,2.2,2.2,2.6,4.6,2.2
general,general,bottle-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",2.8,3.2,4.4,4.8,3.0
general,general,bottle-good,5,"What is the object in the image, and what is its intended function?",2.2,2.2,3.0,4.8,2.2
general,general,bottle-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",2.4,2.8,3.6,5.0,2.6
general,domain,cable-bent_wire,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.4,5.0,5.0,4.4
general,domain,cable-bent_wire,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,3.8,5.0,4.8,4.0
general,domain,cable-bent_wire,5,"What is the object in the image, and what is its intended function?",4.2,4.0,5.0,5.0,4.2
general,domain,cable-bent_wire,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.8,4.6,5.0,5.0,4.6
general,domain,cable-cable_swap,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.0,5.0,5.0,4.2
general,domain,cable-cable_swap,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.4,4.6,4.8,3.4
general,domain,cable-cable_swap,5,"What is the object in the image, and what is its intended function?",4.0,3.8,5.0,5.0,4.0
general,domain,cable-cable_swap,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.0,3.6,5.0,5.0,3.8
general,domain,cable-combined,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.4,3.8,5.0,5.0,4.0
general,domain,cable-combined,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.4,4.8,4.8,3.4
general,domain,cable-combined,5,"What is the object in the image, and what is its intended function?",4.6,4.2,5.0,5.0,4.0
general,domain,cable-combined,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.2,4.0,5.0,5.0,4.0
general,domain,cable-good,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.4,3.6,4.8,5.0,4.0
general,domain,cable-good,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.2,3.8,5.0,5.0,4.0
general,domain,cable-good,5,"What is the object in the image, and what is its intended function?",3.8,3.8,5.0,5.0,3.8
general,domain,cable-good,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",5.0,4.4,5.0,5.0,4.4
general,domain,cable-missing_wire,5,Explain the intended function or use of the object shown when it is in ideal condition.,4.6,4.0,5.0,5.0,4.0
general,domain,cable-missing_wire,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",4.0,3.6,5.0,4.8,3.8
general,domain,cable-missing_wire,5,"What is the object in the image, and what is its intended function?",4.4,4.4,5.0,5.0,4.4
general,domain,cable-missing_wire,5,"What is the object shown, and what are its key features (e.g. color, material, and shape)?",4.6,4.0,5.0,5.0,4.4
general,general,candle-bad,5,Explain the intended function or use of the object shown when it is in ideal condition.,5.0,4.2,5.0,5.0,4.4
general,general,candle-bad,5,"List the main attributes of the product in the image (e.g., color, texture, and material).",3.6,3.6,4.6,4.8,3.6
general,general,candle-bad,5,"What is the object in the image, and what is its intended function?",5.0,4.8,5.0,5.0,4.8
