robustness_category,difficulty,object_specie_pair,num_questions,question,correct_questions,incorrect_questions,accuracy_per_pair,average_per_category
general,general,bottle-broken_large,5,What are the colors of the object shown?,5,0,1.0,
general,general,bottle-broken_large,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,bottle-broken_large,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,bottle-broken_large,5,What is the object in the image?,5,0,1.0,
general,general,bottle-broken_small,5,What are the colors of the object shown?,5,0,1.0,
general,general,bottle-broken_small,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,bottle-broken_small,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,bottle-broken_small,5,What is the object in the image?,5,0,1.0,
general,general,bottle-contamination,5,What are the colors of the object shown?,5,0,1.0,
general,general,bottle-contamination,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,bottle-contamination,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,bottle-contamination,5,What is the object in the image?,5,0,1.0,
general,general,bottle-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,bottle-good,5,What are the main material(s) of object in the image?,4,1,0.8,
general,general,bottle-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,bottle-good,5,What is the object in the image?,5,0,1.0,
general,domain,cable-bent_wire,5,What are the colors of the object shown?,5,0,1.0,
general,domain,cable-bent_wire,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,cable-bent_wire,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,cable-bent_wire,5,What is the object in the image?,5,0,1.0,
general,domain,cable-cable_swap,5,What are the colors of the object shown?,5,0,1.0,
general,domain,cable-cable_swap,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,cable-cable_swap,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,cable-cable_swap,5,What is the object in the image?,5,0,1.0,
general,domain,cable-combined,5,What are the colors of the object shown?,5,0,1.0,
general,domain,cable-combined,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,cable-combined,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,cable-combined,5,What is the object in the image?,5,0,1.0,
general,domain,cable-good,5,What are the colors of the object shown?,5,0,1.0,
general,domain,cable-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,cable-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,cable-good,5,What is the object in the image?,5,0,1.0,
general,domain,cable-missing_wire,5,What are the colors of the object shown?,5,0,1.0,
general,domain,cable-missing_wire,5,What are the main material(s) of object in the image?,5,0,1.0,
general,domain,cable-missing_wire,5,What is the intended function of the object in the image?,5,0,1.0,
general,domain,cable-missing_wire,5,What is the object in the image?,5,0,1.0,
general,general,candle-bad,5,What are the colors of the object shown?,5,0,1.0,
general,general,candle-bad,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,candle-bad,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,candle-bad,5,What is the object in the image?,5,0,1.0,
general,general,candle-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,candle-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,candle-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,candle-good,5,What is the object in the image?,5,0,1.0,
general,general,capsule-crack,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsule-crack,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsule-crack,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsule-crack,5,What is the object in the image?,5,0,1.0,
general,general,capsule-faulty_imprint,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsule-faulty_imprint,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsule-faulty_imprint,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsule-faulty_imprint,5,What is the object in the image?,5,0,1.0,
general,general,capsule-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsule-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsule-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsule-good,5,What is the object in the image?,5,0,1.0,
general,general,capsule-poke,5,What are the colors of the object shown?,4,1,0.8,
general,general,capsule-poke,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsule-poke,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsule-poke,5,What is the object in the image?,5,0,1.0,
general,general,capsule-scratch,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsule-scratch,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsule-scratch,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsule-scratch,5,What is the object in the image?,5,0,1.0,
general,general,capsule-squeeze,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsule-squeeze,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsule-squeeze,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsule-squeeze,5,What is the object in the image?,5,0,1.0,
general,general,capsules-bad,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsules-bad,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsules-bad,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsules-bad,5,What is the object in the image?,5,0,1.0,
general,general,capsules-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,capsules-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,capsules-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,capsules-good,5,What is the object in the image?,5,0,1.0,
general,general,carpet-color,5,What are the colors of the object shown?,5,0,1.0,
general,general,carpet-color,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,carpet-color,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,carpet-color,5,What is the object in the image?,3,2,0.6,
general,general,carpet-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,carpet-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,carpet-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,carpet-good,5,What is the object in the image?,5,0,1.0,
general,general,carpet-hole,5,What are the colors of the object shown?,4,1,0.8,
general,general,carpet-hole,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,carpet-hole,5,What is the intended function of the object in the image?,4,1,0.8,
general,general,carpet-hole,5,What is the object in the image?,4,1,0.8,
general,general,carpet-metal_contamination,5,What are the colors of the object shown?,4,1,0.8,
general,general,carpet-metal_contamination,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,carpet-metal_contamination,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,carpet-metal_contamination,5,What is the object in the image?,5,0,1.0,
general,general,carpet-thread,5,What are the colors of the object shown?,5,0,1.0,
general,general,carpet-thread,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,carpet-thread,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,carpet-thread,5,What is the object in the image?,5,0,1.0,
general,general,grid-bent,5,What are the colors of the object shown?,5,0,1.0,
general,general,grid-bent,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,grid-bent,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,grid-bent,5,What is the object in the image?,5,0,1.0,
general,general,grid-broken,5,What are the colors of the object shown?,5,0,1.0,
general,general,grid-broken,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,grid-broken,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,grid-broken,5,What is the object in the image?,5,0,1.0,
general,general,grid-glue,5,What are the colors of the object shown?,5,0,1.0,
general,general,grid-glue,5,What are the main material(s) of object in the image?,4,1,0.8,
general,general,grid-glue,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,grid-glue,5,What is the object in the image?,5,0,1.0,
general,general,grid-good,5,What are the colors of the object shown?,5,0,1.0,
general,general,grid-good,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,grid-good,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,grid-good,5,What is the object in the image?,5,0,1.0,
general,general,grid-metal_contamination,5,What are the colors of the object shown?,5,0,1.0,
general,general,grid-metal_contamination,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,grid-metal_contamination,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,grid-metal_contamination,5,What is the object in the image?,5,0,1.0,
general,general,grid-thread,5,What are the colors of the object shown?,5,0,1.0,
general,general,grid-thread,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,grid-thread,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,grid-thread,5,What is the object in the image?,5,0,1.0,
general,general,hazelnut-crack,5,What are the colors of the object shown?,5,0,1.0,
general,general,hazelnut-crack,5,What are the main material(s) of object in the image?,5,0,1.0,
general,general,hazelnut-crack,5,What is the intended function of the object in the image?,5,0,1.0,
general,general,hazelnut-crack,5,What is the object in the image?,5,0,1.0,
